#
# U.S. Geological Survey, National Water Information System
# Surface water measurements
#
# Retrieved: 2023-04-06 08:38:50 EDT     (vaww01)
#
# Further descriptions of the columns and codes used can be found at:
# https://help.waterdata.usgs.gov/output-formats#streamflow_measurement_data
#
# Data for the following 1 site(s) are contained in this file
#  USGS 09246500 ELKHEAD CREEK NEAR CRAIG, CO
# -----------------------------------------------------------------------------------
#
#
agency_cd	site_no	measurement_nu	measurement_dt	tz_cd	q_meas_used_fg	party_nm	site_visit_coll_agency_cd	gage_height_va	discharge_va	measured_rating_diff	gage_va_change	gage_va_time	control_type_cd	discharge_cd
5s	15s	6s	19d	12s	1s	12s	5s	12s	12s	12s	7s	6s	21s	15s
USGS	09246500	1	2008-04-17 11:00:00	MDT	Yes	KLM	USGS	2.38	127	Good	0.00	0.50	Clear	NONE
USGS	09246500	2	2008-06-17 10:10:00	MDT	Yes	KLM	USGS	3.31	232	Fair	0.00	0.60	Clear	NONE
USGS	09246500	3	2008-07-11 14:05:00	MDT	Yes	JBF	USGS	2.17	22.3	Fair	0.00	0.50	DebrisLight	NONE
USGS	09246500	4	2008-07-17 10:57:00	MDT	Yes	JBF	USGS	1.89	7.97	Good	0.00	0.40	VegetationLight	NONE
USGS	09246500	5	2008-08-05 14:03:00	MDT	Yes	KLM	USGS	1.67	2.55	Poor	0.00	0.30	VegetationLight	NONE
USGS	09246500	6	2008-08-26 09:28:00	MDT	Yes	KLM	USGS	2.23	29.7	Fair	0.00	0.80	Clear	NONE
USGS	09246500	7	2008-09-04 11:56:00	MDT	Yes	KLM	USGS	2.55	65.6	Fair	0.00	0.80	Clear	NONE
USGS	09246500	8	2008-10-05 18:15:00	MDT	Yes	KLM	USGS	2.36	43.4	Good	0.00	0.50	Clear	NONE
USGS	09246500	9	2008-10-20 11:30:00	MDT	Yes	KLM	USGS	2.10	3.78	Poor	0.00	0.50	DebrisHeavy	NONE
USGS	09246500	10	2009-01-08 09:10:00	MST	Yes	KLM	USGS	2.11	4.38	Poor	0.01	0.50	IceCover	NONE
USGS	09246500	11	2009-03-25 12:49:00	MDT	Yes	KLM/HLK	USGS	1.90	6.84	Fair	0.00	0.60	DebrisLight	NONE
USGS	09246500	12	2009-04-09 13:44:00	MDT	Yes	KLM/HLK	USGS	2.51	74.7	Good	0.00	0.80	Clear	NONE
USGS	09246500	13	2009-04-13 11:54:30	MDT	Yes	KLM	USGS	2.88	151	Good	0.00	0.50	Clear	NONE
USGS	09246500	14	2009-04-16 11:06:00	MDT	Yes	KLM/HLK	USGS	3.51	343	Fair	0.00	0.60	Clear	NONE
USGS	09246500	15	2009-05-06 11:34:00	MDT	Yes	KLM/HLK	USGS	6.39	1290	Fair	-0.02	0.30	Clear	NONE
